"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","bic","elapsed_min","seed","path","correct"
11,43,1000,72,36,3,3,3,3,147689.81757134,1.73557854890823,11973033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_043/fit_K1_3_K2_3.rds",TRUE
14,43,1000,48,24,4,4,1,4,100153.352658438,1.12275168895721,14973014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_043/fit_K1_1_K2_4.rds",FALSE
17,43,1000,72,36,4,4,4,4,148677.622614529,2.7773911635081,17973044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_043/fit_K1_4_K2_4.rds",TRUE
2,44,1000,48,24,2,2,2,2,99085.329392271,0.779692387580872,2974022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_044/fit_K1_2_K2_2.rds",TRUE
5,44,1000,72,36,2,2,2,2,146969.027319435,1.14274388154348,5974022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_044/fit_K1_2_K2_2.rds",TRUE
8,44,1000,48,24,3,3,2,3,99640.9325598733,0.98000613451004,8974023,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_044/fit_K1_2_K2_3.rds",FALSE
11,44,1000,72,36,3,3,3,3,147913.625165129,1.62177987098694,11974033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_044/fit_K1_3_K2_3.rds",TRUE
14,44,1000,48,24,4,4,2,4,100081.5722824,1.32077087958654,14974024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_044/fit_K1_2_K2_4.rds",FALSE
17,44,1000,72,36,4,4,4,4,148343.334312332,2.64064257542292,17974044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_044/fit_K1_4_K2_4.rds",TRUE
2,45,1000,48,24,2,2,2,2,98878.5116653323,0.775488718350728,2975022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_045/fit_K1_2_K2_2.rds",TRUE
5,45,1000,72,36,2,2,2,2,147319.565541665,1.13905601104101,5975022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_045/fit_K1_2_K2_2.rds",TRUE
8,45,1000,48,24,3,3,3,3,99865.0334167792,1.15562479893366,8975033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_045/fit_K1_3_K2_3.rds",TRUE
11,45,1000,72,36,3,3,3,3,147858.522098004,1.62203207413355,11975033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_045/fit_K1_3_K2_3.rds",TRUE
14,45,1000,48,24,4,4,1,4,99992.2636628859,1.12229611873627,14975014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_045/fit_K1_1_K2_4.rds",FALSE
17,45,1000,72,36,4,4,3,4,148070.646284353,2.10344135363897,17975034,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_045/fit_K1_3_K2_4.rds",FALSE
2,46,1000,48,24,2,2,2,2,99152.4854037997,0.80238352616628,2976022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_046/fit_K1_2_K2_2.rds",TRUE
5,46,1000,72,36,2,2,2,2,146561.634847262,1.12687521775564,5976022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_046/fit_K1_2_K2_2.rds",TRUE
8,46,1000,48,24,3,3,3,3,99671.1980129725,1.2470356742541,8976033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_046/fit_K1_3_K2_3.rds",TRUE
11,46,1000,72,36,3,3,3,3,148149.890353038,1.62694170475006,11976033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_046/fit_K1_3_K2_3.rds",TRUE
14,46,1000,48,24,4,4,1,4,99888.0595896811,1.11646430095037,14976014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_046/fit_K1_1_K2_4.rds",FALSE
17,46,1000,72,36,4,4,4,4,148212.707916138,2.60457930962245,17976044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_046/fit_K1_4_K2_4.rds",TRUE
2,47,1000,48,24,2,2,2,2,99095.1101873854,0.770940363407135,2977022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_047/fit_K1_2_K2_2.rds",TRUE
5,47,1000,72,36,2,2,2,2,146888.128860116,1.21385876337687,5977022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_047/fit_K1_2_K2_2.rds",TRUE
8,47,1000,48,24,3,3,3,3,99726.0191442049,1.17679836750031,8977033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_047/fit_K1_3_K2_3.rds",TRUE
11,47,1000,72,36,3,3,3,3,147732.194342546,1.61954393784205,11977033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_047/fit_K1_3_K2_3.rds",TRUE
14,47,1000,48,24,4,4,2,4,100664.905181208,1.24892077445984,14977024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_047/fit_K1_2_K2_4.rds",FALSE
17,47,1000,72,36,4,4,4,4,148392.928823024,2.68629108667374,17977044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_047/fit_K1_4_K2_4.rds",TRUE
2,48,1000,48,24,2,2,2,2,99409.8232399774,0.823033384482066,2978022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_048/fit_K1_2_K2_2.rds",TRUE
