"scenario_id","replicate_id","n","J","J_block","K","parameter_block","n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05"
14,50,1000,48,24,4,"eta",24,1.00536156683912,1.01139210175704,1.0152500424839,0,3,0,0.875,1
14,50,1000,48,24,4,"Delta1",120,1.00519298105322,1.03906393517048,1.11052761752464,0,39,3,0.675,0.975
14,50,1000,48,24,4,"Delta2",120,1.00528077684068,1.01788451971264,1.03057929612948,0,30,0,0.75,1
14,50,1000,48,24,4,"Q1",96,1.00025327763043,1.01253650800792,1.09299971680753,0,7,1,0.927083333333333,0.989583333333333
14,50,1000,48,24,4,"Q2",96,1.00046282491668,1.00959847850708,1.01408287661125,0,4,0,0.958333333333333,1
14,100,1000,48,24,4,"eta",24,1.00714878517812,1.01520363969194,1.02192530948496,0,8,0,0.666666666666667,1
14,100,1000,48,24,4,"Delta1",120,1.00666813321008,1.02978386424879,1.04916248866992,0,51,0,0.575,1
14,100,1000,48,24,4,"Delta2",120,1.0070134053942,1.02201345539667,1.03495641682073,0,39,0,0.675,1
14,100,1000,48,24,4,"Q1",96,1.00019429469456,1.00888728404345,1.05443124761637,0,4,1,0.958333333333333,0.989583333333333
14,100,1000,48,24,4,"Q2",96,1.00032483042165,1.00967419602856,1.02638561130636,0,5,0,0.947916666666667,1
15,1,2000,48,24,4,"eta",24,1.00412837009564,1.0087466851857,1.01313478909251,0,1,0,0.958333333333333,1
15,1,2000,48,24,4,"Delta1",120,1.00492298394855,1.02572764472792,1.05243384025172,0,37,1,0.691666666666667,0.991666666666667
15,1,2000,48,24,4,"Delta2",120,1.00372251459028,1.01280710341884,1.02121955369448,0,17,0,0.858333333333333,1
15,1,2000,48,24,4,"Q1",96,1.0004152632102,1.00831122079992,1.01754498720109,0,5,0,0.947916666666667,1
15,1,2000,48,24,4,"Q2",96,1.00024313309551,1.00714423849756,1.01217790390636,0,4,0,0.958333333333333,1
15,50,2000,48,24,4,"eta",24,1.00437609748898,1.00823477089314,1.00848441716449,0,0,0,1,1
15,50,2000,48,24,4,"Delta1",120,1.00601272182713,1.03344761946312,1.05342137599834,0,45,1,0.625,0.991666666666667
15,50,2000,48,24,4,"Delta2",120,1.00432474177965,1.02028685644813,1.02994586135711,0,24,0,0.8,1
15,50,2000,48,24,4,"Q1",96,1.0003001238291,1.02019139458557,1.03419603007669,0,9,0,0.90625,1
15,50,2000,48,24,4,"Q2",96,1.00016623413522,1.00864782597233,1.02863855341506,0,3,0,0.96875,1
15,100,2000,48,24,4,"eta",24,1.00411314670795,1.01417470569184,1.01658162705501,0,3,0,0.875,1
15,100,2000,48,24,4,"Delta1",120,1.00411750816368,1.02477206159262,1.07652258553061,0,35,2,0.708333333333333,0.983333333333333
15,100,2000,48,24,4,"Delta2",120,1.00517236172921,1.01547461647018,1.02091230137554,0,21,0,0.825,1
